ip地址为:127.0.0.1正在访问，访问时间是：2017-07-31 19:32:09   json数据是 asdfad 
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 10:59:41   json数据是 {"user_id":"2","product_id":["3","4","1","2"],"pro_num":["2","3","1","1"]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:00:33   json数据是 {"user_id":"2","product_id":["3","4","1","2"],"pro_num":["2","3","1","1"]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:03:39   json数据是 {"user_id":"2","product_id":["3","4","1","2"],"pro_num":["2","3","1","1"]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:03:50   json数据是 {"user_id":"2","product_id":["3","4","1","2"],"pro_num":["2","3","1","1"]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:17:06   json数据是 {"user_id":"2","res":[{"product_id":"3","pro_num":"2"},{"product_id":"2","pro_num":"1"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:19:18   json数据是 {"user_id":"2","res":[{"product_id":"3","pro_num":"2"},{"product_id":"2","pro_num":"1"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:22:52   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:26:51   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:28:16   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:28:34   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:29:38   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:31:35   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:31:39   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:38:03   json数据是 {"user_id":"12","Address_id":"36","res":[{"product_id":"1","pro_num":"1"},{"product_id":"6","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:44:44   json数据是 {"user_id":"2","res":[{"product_id":"3","pro_num":"2"},{"product_id":"2","pro_num":"1"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:45:09   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:45:15   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:45:36   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:46:40   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:47:29   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:49:37   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:49:55   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"2","pro_num":"1"},{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:49:58   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"2","pro_num":"1"},{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 11:51:11   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"},{"product_id":"2","pro_num":"1"}]}
ip地址为:127.0.0.1正在访问，访问时间是：2017-08-01 11:54:34   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:08:21   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"1","pro_num":"1"},{"product_id":"2","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:17:37   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:21:22   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"1","pro_num":"1"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:21:48   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:23:45   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:24:46   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"1","pro_num":"1"},{"product_id":"2","pro_num":"1"},{"product_id":"4","pro_num":"3"},{"product_id":"6","pro_num":"1"},{"product_id":"7","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:25:43   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"},{"product_id":"7","pro_num":"1"},{"product_id":"6","pro_num":"1"}]}
ip地址为:192.168.1.107正在访问，访问时间是：2017-08-01 15:26:25   json数据是 {"user_id":"2","Address_id":"31","res":[{"product_id":"3","pro_num":"2"},{"product_id":"4","pro_num":"3"},{"product_id":"2","pro_num":"1"},{"product_id":"1","pro_num":"1"},{"product_id":"7","pro_num":"1"},{"product_id":"6","pro_num":"1"}]}
